,id,date,time,zone,currency,importance,event,actual,forecast,previous
0,9,01/01/2021,All Day,united states,,,United States - New Year's Day,,,
1,9,01/01/2021,All Day,united kingdom,,,United Kingdom - New Year's Day,,,
2,9,01/01/2021,All Day,germany,,,Germany - New Year's Day,,,
3,9,01/01/2021,All Day,switzerland,,,Switzerland - New Year's Day,,,
4,9,01/01/2021,All Day,italy,,,Italy - New Year's Day,,,
5,9,01/01/2021,All Day,norway,,,Norway - New Year's Day,,,
6,9,01/01/2021,All Day,netherlands,,,Netherlands - New Year's Day,,,
7,9,01/01/2021,All Day,france,,,France - New Year's Day,,,
8,9,01/01/2021,All Day,portugal,,,Portugal - New Year's Day,,,
9,9,01/01/2021,All Day,spain,,,Spain - New Year's Day,,,
10,9,01/01/2021,All Day,sweden,,,Sweden - New Year's Day,,,
11,9,01/01/2021,All Day,denmark,,,Denmark - New Year's Day,,,
12,9,01/01/2021,All Day,finland,,,Finland - New Year's Day,,,
13,9,01/01/2021,All Day,austria,,,Austria - New Year's Day,,,
14,9,01/01/2021,All Day,australia,,,Australia - New Year's Day,,,
15,9,01/01/2021,All Day,singapore,,,Singapore - New Year's Day,,,
16,9,01/01/2021,All Day,japan,,,Japan - New Year's Day,,,
17,9,01/01/2021,All Day,hong kong,,,Hong Kong - New Year's Day,,,
18,9,01/01/2021,All Day,south africa,,,South Africa - New Year's Day,,,
19,9,01/01/2021,All Day,hungary,,,Hungary - New Year's Day,,,
20,9,01/01/2021,All Day,poland,,,Poland - New Year's Day,,,
21,9,01/01/2021,All Day,kuwait,,,Kuwait - New Year's Day,,,
22,9,01/01/2021,All Day,jordan,,,Jordan - New Year's Day,,,
23,9,01/01/2021,All Day,united arab emirates,,,United Arab Emirates - New Year's Day,,,
24,9,01/01/2021,All Day,lebanon,,,Lebanon - New Year's Day,,,
25,9,01/01/2021,All Day,qatar,,,Qatar - New Year's Day,,,
26,9,01/01/2021,All Day,morocco,,,Morocco - New Year's Day,,,
27,9,01/01/2021,All Day,argentina,,,Argentina - New Year's Day,,,
28,9,01/01/2021,All Day,bahrain,,,Bahrain - New Year's Day,,,
29,9,01/01/2021,All Day,russia,,,Russia - New Year's Day,,,
30,9,01/01/2021,All Day,greece,,,Greece - New Year's Day,,,
31,9,01/01/2021,All Day,chile,,,Chile - New Year's Day,,,
32,9,01/01/2021,All Day,romania,,,Romania - New Year's Day,,,
33,9,01/01/2021,All Day,bulgaria,,,Bulgaria - New Year's Day,,,
34,9,01/01/2021,All Day,croatia,,,Croatia - New Year's Day,,,
35,9,01/01/2021,All Day,turkey,,,Turkey - New Year's Day,,,
36,9,01/01/2021,All Day,canada,,,Canada - New Year's Day,,,
37,9,01/01/2021,All Day,iceland,,,Iceland - New Year's Day,,,
38,9,01/01/2021,All Day,mexico,,,Mexico - New Year's Day,,,
39,9,01/01/2021,All Day,china,,,China - New Year's Day,,,
40,9,01/01/2021,All Day,colombia,,,Colombia - New Year's Day,,,
41,9,01/01/2021,All Day,czech republic,,,Czech Republic - New Year's Day,,,
42,9,01/01/2021,All Day,ireland,,,Ireland - New Year's Day,,,
43,9,01/01/2021,All Day,kenya,,,Kenya - New Year's Day,,,
44,9,01/01/2021,All Day,south korea,,,South Korea - New Year's Day,,,
45,9,01/01/2021,All Day,luxembourg,,,Luxembourg - New Year's Day,,,
46,9,01/01/2021,All Day,malaysia,,,Malaysia - New Year's Day,,,
47,9,01/01/2021,All Day,peru,,,Peru - New Year's Day,,,
48,9,01/01/2021,All Day,philippines,,,Philippines - New Year's Day,,,
